Exp;RepTraining;RepValidation;RepTesting;rangeDownTrain;rangeDownValidation;rangeDownTest;list_users;list_users_validation;list_users_test;seed_rng;decay_rate_alpha;epochs;rewards;gameReplayStrategy;experience_replay_reserved_space;epsilon_initial;loss_type;window_size;stride;learning_rate;batch_size;gamma;interval_for_learning;layers_conv_network;layers_network;global_epochs;note;estado;modelo
20;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;8;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;b8;x;batch1
21;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;64;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;b64;+;batch1
22;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;32;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;b32;x;batch1
23;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;10;1;mse;300;30;3.00E-03;128;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;exp10;x;exp1
24;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;200;1;mse;300;30;3.00E-03;128;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;exp200;x;exp1
25;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;500;1;mse;300;30;3.00E-03;128;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;exp500;x;exp1
26;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;256;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;b256;x;batch2
27;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;80;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;b80;x;batch2
28;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;160;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;b160;x;batch2
29;125;10;50;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;drop and gestures;"""++""";data1
30;20;10;15;26;26;26;[8, 200, 300, 1];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;drop and users;;data1
31;20;10;15;26;26;26;[8];[206];[1];44;0.1;10;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;drop and epochs intern;;data1
32;125;10;30;26;26;26;[8, 200, 300, 1, 30, 40, 50, 70, 122];[206];[1];44;0.1;3;[1, -1];1;200;1;mse;300;30;3.00E-03;32;0.1;10;C-[1, 3]-64-0-1|A-relu|P-max-[1,2]|C-[1, 4]-32-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;grande;;huge
33;125;10;50;26;26;26;[8, 200, 300, 1, 30, 40, 50, 70, 122];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;gestures and users in  merge;;data2
34;125;10;50;26;26;26;[8, 200, 300, 1, 30, 40, 50, 70, 122];[206];[1];44;0.1;5;[1, -1];1;500;1;mse;300;30;3.00E-03;64;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;33 modified;;data3
